year,country_code,country_name,athlete_number,male,female,gold,silver,bronze,medal_number,gdp,gdp_percap,gdp_growth,life_expectancy,health_expenditure,age_dependency,female_literacy
1960,PER,Peru,33,33,0,0,0,0,0,2571908062.07692,253.264821576031,,48.012,,6.47110875440763,
1960,PHL,Philippines,49,44,5,0,0,0,0,6684568805.0688,254.45894522833000,,61.105,,6.1981515073516900,
1960,POL,Poland,307,238,69,4,11,15,30,,,,67.6804878048781,,9.37374720726847,
1960,PRI,Puerto Rico,29,28,1,0,0,0,0,1691900000.0,717.514843087362,,68.7196097560976,,10.3778177188647,
1960,PRT,Portugal,109,92,17,0,2,0,2,3193200404.37297,360.499298506858,,63.2729024390244,,12.8067609676857,
1960,ROU,Romania,156,107,49,3,1,11,15,,,,65.6424390243903,,10.620178186463300,
1960,SDN,Sudan,13,13,0,0,0,0,0,1307333333.3333300,125.85985110863000,,48.194,,6.24911509828586,
1960,SGP,Singapore,5,5,0,0,1,0,1,704756304.717104,428.058980027396,,65.6598292682927,,3.7359798095939900,
1960,SMR,San Marino,13,13,0,0,0,0,0,,,,,,,
1960,SRB,Serbia,185,163,22,16,1,0,17,,,,,,,
1960,SWE,Sweden,258,203,55,2,2,3,7,15822585033.5764,2114.0029726919200,,73.0056097560976,,17.8689284100244,
1960,SYR,Syria,123,123,0,0,1,1,2,857704431.686497,187.53737427309600,,51.971,,8.06896859232535,
1960,THA,Thailand,24,24,0,0,0,0,0,2760747471.88624,100.76747866621,,54.701,,6.14388613226035,
1960,TTO,Trinidad,20,20,0,0,0,5,5,535670127.748935,631.702114968573,,62.222,,6.45521888183917,
1960,TUN,Tunisia,56,56,0,0,0,0,0,,,,42.021,,7.06193641021178,
1960,TUR,Turkey,58,54,4,7,2,0,9,13995067817.5092,509.423852150563,,45.369,,5.81036594768168,
1960,UGA,Uganda,16,16,0,0,0,0,0,423008385.74423500,62.5095976551585,,44.359,,5.30692372937509,
1960,URY,Uruguay,42,42,0,0,0,0,0,1242289239.20493,489.35168875849600,,67.783,,12.7545765128674,
1960,USA,USA,428,326,102,81,23,21,125,543300000000.0,3007.12344537862,,69.77073170731710,,15.1441107356828,
1960,VEN,Venezuela,54,45,9,0,0,1,1,7779090909.090910,955.4461833743630,,59.831,,4.46715572832469,
1960,VNM,Vietnam,5,5,0,0,0,0,0,,,,59.039,,8.563375168709310,
1960,ZAF,South Africa,72,66,6,0,1,2,3,7575396972.87137,443.009816049236,,48.40600000000000,,6.98289274308522,
1960,ZWE,Zimbabwe,22,11,11,0,0,0,0,1052990400.0,278.813699118353,,53.019,,6.38608722331663,
1964,AFG,Afghanistan,8,8,0,0,0,0,0,800000044.4444440,82.0952307131832,,34.463,,5.063744661374,
1964,ARG,Argentina,148,137,11,0,1,0,1,25605249381.7597,1173.23821277123,10.1302976614338,65.426,,9.56320190676254,
1964,AUS,Australia,392,301,91,8,6,30,44,23764139321.3126,2128.06835509202,6.97852215948878,70.88097560975610,,14.0210982427825,
1964,AUT,Austria,82,61,21,0,0,0,0,9169983885.71185,1269.41258289256,6.124353737628430,69.92195121951220,,20.1756883836729,
1964,BEL,Belgium,74,69,5,2,0,1,3,15960106680.6732,1701.84627554319,6.956684733441020,70.75512195121950,,19.5741407309437,
1964,BGR,Bulgaria,116,101,15,3,5,2,10,,,,71.1212195121951,,12.228394115984400,
1964,BHS,Bahamas,12,12,0,2,0,0,2,266666666.66666700,1994.38083200582,10.5015672018341,65.219,,6.54659445540675,
1964,BMU,Bermuda,4,4,0,0,0,0,0,107566650.637987,2199.72700691179,11.1099999999974,,,,
1964,BOL,Boliva,1,1,0,0,0,0,0,539491477.320156,136.312430833969,3.95659653301578,43.199,,7.73066210440394,
1964,BRA,Brazil,65,64,1,0,0,12,12,21211892259.9904,261.66661956418,3.4855823042772000,56.121,,6.228377506539280,
1964,CAN,Canada,194,150,44,2,2,1,5,49377522896.703,2555.11114601309,6.64289441498821,71.7763414634146,,13.1644921717832,
1964,CHE,Switzerland,129,127,2,1,4,1,6,14480556571.5476,2501.2931899637700,,72.0778048780488,,15.922813267453200,
1964,CHL,Chile,16,16,0,0,0,0,0,5982347826.08696,678.12787579294,2.55722054231924,58.927,,7.01858776141428,
1964,CIV,Ivory Coast,10,10,0,0,0,0,0,921063266.4455210,226.227041791045,17.6130878300437,39.358,,5.19334840349599,
1964,CMR,Cameroon,2,2,0,0,0,0,0,782384527.813649,138.646028097933,3.54715969576544,43.639,,7.04653992619586,
1964,COG,Republic of Congo,2,2,0,0,0,0,0,185693724.845363,165.009459125112,3.8167962678378,48.01600000000000,,6.53953303263465,
1964,COL,Colombia,40,40,0,0,0,0,0,5973366666.66667,328.655032086694,6.16694132410072,59.308,,5.86253764623876,
1964,CRI,Costa Rica,2,2,0,0,0,0,0,542578367.242598,352.337113722278,3.6590483117463700,62.807,,5.89970240428012,
1964,CUB,Cuba,76,73,3,0,1,0,1,,,,66.327,,8.32372284832163,
1964,CUW,Curacao,4,4,0,0,0,0,0,,,,,,8.398329461223590,
1964,CZE,Czech Republic,187,147,40,5,37,12,54,,,,70.459512195122,,15.666031831131700,
1964,DEU,Germany,478,366,112,22,44,50,116,,,,70.0137073170732,,18.8406253458418,
1964,DNK,Denmark,71,61,10,7,1,4,12,,,9.26993821451794,72.4851219512195,,17.3736840435238,
1964,DOM,Dominican Republic,1,1,0,0,0,0,0,1025599900.0,272.974146237077,6.764865116146100,54.34,,5.237467316027680,
1964,DZA,Algeria,7,7,0,0,0,0,0,2909351792.58659,238.048532020905,5.83941300668019,47.958,,7.21756730201749,
1964,EGY,Egypt,83,83,0,0,0,0,0,,,11.507577471160400,50.101000000000000,,7.330648845600410,
1964,ESP,Spain,67,62,5,0,0,0,0,21343844643.7341,675.241639141208,5.30851024557151,70.399756097561,,13.5039360628104,
1964,ETH,Ethiopia,19,19,0,1,0,0,1,,,,40.81,,4.77331007462911,
1964,FIN,Finland,151,138,13,3,0,2,5,7766655085.78588,1707.50393824701,5.23868659789346,69.2209756097561,,12.2916697322552,
1964,FRA,France,214,174,40,1,13,17,31,94007851047.3678,1909.54123238543,6.65209950760072,70.66341463414630,,19.2957698118278,
1964,GBR,Iran,96,86,10,0,0,2,2,94407558351.1616,1748.2881176141,5.5336593860234900,71.62439024390240,,18.724402417487100,
1964,GHA,Ghana,40,36,4,0,0,1,1,1731296118.87113,230.088718367366,2.20932750489335,47.469,,4.45972785155702,
1964,GMB,UK,301,228,73,4,19,5,28,,,,33.543,,3.915591922257140,
1964,GRC,Greece,19,19,0,0,0,0,0,6669673257.1183,783.705880998279,9.40967663829282,69.4294390243902,,11.5619458551641,
1964,GUY,Guyana,1,1,0,0,0,0,0,194773376.888526,305.361611188496,11.360282379526400,60.984,,7.08235770242535,
1964,HKG,"Hong Kong SAR, China",50,49,1,0,0,0,0,2206466461.26434,629.591525784494,8.62765644400743,69.1043658536585,,5.3404906418409,
1964,HUN,Hungary,319,239,80,42,7,7,56,,,,69.38097560975610,,15.212716134450200,
1964,IND,India,111,110,1,15,0,0,15,56480289940.8261,115.537497020064,7.45295012233009,43.87300000000000,,5.81803161273066,
1964,IRL,Ireland,35,33,2,0,0,1,1,2766608945.87402,965.135422676745,,70.4012926829268,,19.4692099228433,
1964,IRQ,Iraq,19,19,0,0,0,0,0,2340521142.5371,288.163552612317,,52.73,,6.7158812939833800,
1964,ISL,Iceland,5,4,1,0,0,0,0,434267936.914583,2297.9206432038,9.91654401443,73.5417073170732,,14.659573874468700,
1964,ISR,Israel,13,10,3,0,0,0,0,3405333333.33333,1375.8922558922600,7.93719197503013,,,9.054977876941300,
1964,ITA,Italy,256,238,18,14,28,9,51,63175417019.0094,1222.5445404629,2.7977022791150700,70.3117073170732,,15.382538967095500,
1964,JAM,Jamaica,32,23,9,0,0,0,0,897931401.371973,518.814171395077,,66.1,,9.999378120502480,
1964,JPN,Japan,456,354,102,32,5,25,62,81749006381.5111,835.657252484116,11.6767081963977,70.1324390243903,,8.99564020111906,
1964,KEN,Kenya,41,41,0,0,0,1,1,998759333.6433260,108.29368839849900,4.96446728796283,49.261,,7.56348499543896,
1964,KGZ,South Korea,240,196,44,0,2,1,3,,,,57.882243902439,,12.1629424770356,
1964,KHM,Cambodia,15,15,0,0,0,0,0,782857128.571429,123.645808182523,,41.893,,4.99788402326857,
1964,LBN,Lebanon,8,8,0,0,0,0,0,,,,64.435,,10.5777836677153,
1964,LBR,Liberia,2,2,0,0,0,0,0,,,,35.796,,5.90202368079093,
1964,LIE,Liechtenstein,3,3,0,0,0,0,0,,,,,,,
1964,LKA,Sri Lanka,7,7,0,0,0,0,0,1309747899.1596600,120.714370232159,3.90643383740719,61.078,,7.2195958062690600,
1964,LUX,Luxembourg,27,25,2,0,0,0,0,903158753.9436220,2755.6331165327900,7.86582881901587,69.41104878048780,,17.121403476543700,
1964,MAR,Morocco,21,21,0,0,0,0,0,2798339768.79755,201.262026430705,,50.168,,6.3724212037734300,
1964,MCO,Monaco,1,1,0,0,0,0,0,,,,,,,
1964,MDG,Madagascar,4,4,0,0,0,0,0,802482182.924192,142.659339874214,3.9625188477375700,41.87600000000000,,6.358924196688320,
1964,MEX,Mexico,128,122,6,0,0,1,1,20080000000.0,469.476114923357,11.905480768231200,59.069,,7.13621345556907,
1964,MLI,Mali,2,2,0,0,0,0,0,,,,29.097,,4.120315124965200,
1964,MMR,Myanmar,12,12,0,0,0,0,0,,,-5.894018839645060,44.907,,6.261170809475890,
1964,MNG,Mongolia,40,27,13,0,0,0,0,,,,51.771,,9.1807380691476,
1964,MYS,Malaysia,81,75,6,0,0,0,0,2674441395.5311600,289.008759338139,5.35896290939337,61.94300000000000,,6.44436717231349,
1964,NER,Niger,1,1,0,0,0,0,0,582816358.347155,153.259676703514,0.131039889603386,35.368,,2.71077824922664,
1964,NGA,Nigeria,19,17,2,0,0,1,1,5552822483.55033,113.168721218811,4.95048865913519,38.691,,5.24083745337703,
1964,NLD,Netherlands,158,127,31,5,10,16,31,18699380731.3465,1541.94736519029,8.27490393060459,73.7041463414634,,15.139433531182100,
1964,NOR,Norway,43,40,3,0,0,0,0,7159202706.48027,1937.88461385928,5.0096509866239000,73.5958536585366,,18.6535197088802,
1964,NPL,Nepal,6,6,0,0,0,0,0,496098775.308642,46.003365487732100,7.53244855331717,37.346,,4.8332573120527,
1964,NZL,New Zealand,88,65,23,4,0,2,6,7274144350.81809,2813.546975639390,,71.32926829268290,,13.9101958140818,
1964,PAK,Pakistan,47,47,0,0,16,0,16,5204955900.88198,104.880217633675,7.56975744905716,48.67,,7.19897131861248,
1964,PAN,Panama,15,6,9,0,0,0,0,776137500.0,608.100484905561,4.43213036861587,62.824,,7.0559676697541300,
1964,PER,Peru,40,39,1,0,0,0,0,4356913870.23507,382.743662202326,6.5478676504710200,50.334,,6.71261906824096,
1964,PHL,Philippines,70,56,14,0,1,0,1,5271404668.36735,175.95579180127500,3.4469821453358100,62.411,,6.10140137061695,
1964,POL,Poland,240,178,62,10,13,23,46,,,,68.6292682926829,,10.682533198529,
1964,PRI,Puerto Rico,45,37,8,0,0,0,0,2570500000.0,1006.43444609497,7.060923719413670,69.5932926829268,,10.2929995035109,
1964,PRT,Portugal,25,20,5,0,0,0,0,4235608177.671020,468.7810816354430,6.310747382575070,64.8912682926829,,13.5963084636794,
1964,ROU,Romania,232,168,64,2,4,10,16,,,,67.6504390243903,,11.8777275658144,
1964,SEN,Senegal,14,14,0,0,0,0,0,1188930567.71363,332.081340858427,3.88392710398951,38.449,,4.86932709435568,
1964,SRB,Serbia,123,119,4,2,11,2,15,,,,,,,
1964,SWE,Sweden,175,122,53,3,4,8,15,22532416750.0125,2941.0488994520400,6.82116450044803,73.73317073170730,,18.831692411736700,
1964,TCD,Chad,2,2,0,0,0,0,0,392247517.602016,120.820803549525,-2.5109396034681,39.059,,7.07387303577337,
1964,THA,Thailand,67,57,10,0,0,0,0,3889129942.3076900,125.938686013051,6.830996143705420,56.692,,6.4359708910840400,
1964,TTO,Trinidad,18,18,0,0,1,5,6,711893367.5552700,788.702763593334,7.63049977218905,63.663,,6.28170844475545,
1964,TUN,Tunisia,12,12,0,0,1,1,2,,,,44.932,,7.04150952667592,
1964,TUR,Turkey,25,25,0,2,3,1,6,11177777777.7778,369.583431970045,5.45905679838097,48.312,,6.76166616125209,
1964,TZA,Tanzania,4,4,0,0,0,0,0,,,,44.682,,4.87450714069185,
1964,UGA,Uganda,19,16,3,0,0,0,0,589056603.773585,76.3115257643355,,46.755,,5.24651387076067,
1964,URY,Uruguay,29,29,0,0,0,1,1,1975701816.46615,741.243607484594,2.4405207797872200,68.455,,13.125582268017600,
1964,USA,USA,492,356,136,95,37,37,169,685800000000.0,3573.94118474743,5.800000000000300,70.1658536585366,,15.578007183973800,
1964,VEN,Venezuela,23,21,2,0,0,0,0,8099318181.81818,864.47168241399,11.129345293262500,61.923,,4.69639698514718,
1964,VNM,Vietnam,23,23,0,0,0,0,0,,,,61.581,,9.48709266085207,
1964,ZMB,Zambia,15,14,1,0,0,0,0,839428571.428571,242.384332534144,12.214048017932300,48.06800000000000,,5.035450780328590,
1964,ZWE,Zimbabwe,33,27,6,0,0,0,0,1217138000.0,281.558440116395,-1.10617185882874,54.849,,6.504964227663810,
1968,AFG,Afghanistan,5,5,0,0,0,0,0,1373333366.6666700,129.108323102596,,36.403,,5.05905784929561,
1968,ARG,Argentina,132,123,9,0,0,2,2,26436857247.4982,1141.0804807929000,4.82250078158644,65.98900000000000,,10.4834457535579,
1968,AUS,Australia,224,163,61,5,35,11,51,32665472057.3412,2720.08260948799,5.09581380047702,70.9190243902439,,13.455720064491200,
1968,AUT,Austria,59,48,11,0,2,3,5,12440625312.8685,1677.6735280427200,4.4723127824606500,70.0575609756098,,22.037622685860900,
1968,BEL,Belgium,106,90,16,0,1,2,3,21376353113.475,2222.3615105191300,4.19412962494732,70.6931707317073,,20.879358009142600,
1968,BGR,Bulgaria,189,151,38,2,21,3,26,,,,71.2251219512195,,13.485822343021600,
1968,BHS,Bahamas,22,22,0,0,0,0,0,444901960.784314,2804.33387615547,8.42176356379977,65.607,,6.22359800304896,
1968,BLZ,Belize,7,7,0,0,0,0,0,44910179.6407186,386.95323701087000,7.3672254571462,64.525,,8.846927334531670,
1968,BMU,Bermuda,6,6,0,0,0,0,0,150000000.0,2830.18867924528,2.10526315789603,,,,
1968,BOL,Boliva,4,4,0,0,0,0,0,857912457.9124580,199.629799698863,8.52944308380353,44.737,,7.33388239813828,
1968,BRA,Brazil,89,85,4,0,1,3,4,33875881876.3672,374.786775401462,11.4272823832672,58.025,,6.3191196800170900,
1968,BRB,Barbados,13,13,0,0,0,0,0,,,,68.187,,14.512128539115500,
1968,CAF,Central African Republic,1,1,0,0,0,0,0,191767436.956884,109.946162500779,1.40411317693092,40.703,,8.741686874264720,
1968,CAN,Canada,291,212,79,3,3,4,10,71829810519.8955,3462.67887195794,4.995666604640430,72.3534146341463,,13.009020822759300,
1968,CHE,Switzerland,155,147,8,0,3,10,13,18942729779.1,3121.8890308772000,,72.590243902439,,16.7936425151613,
1968,CHL,Chile,25,23,2,0,0,0,0,7167086956.521740,756.9124805107420,3.59201332908737,61.044,,7.24703225934509,
1968,CIV,Ivory Coast,11,11,0,0,0,0,0,1281281245.67032,271.853287815928,12.548248640008,42.449,,5.26297064591757,
1968,CMR,Cameroon,5,5,0,0,1,0,1,1053077155.17925,169.81245325529,6.34632385552484,45.50900000000000,,7.1608420138785900,
1968,COD,Democratic Republic of the Congo,8,8,0,0,0,0,0,3909780538.92216,206.714907377649,4.3326984640191700,43.208,,5.3576068902468,
1968,COL,Colombia,70,56,14,0,0,0,0,5960212869.12968,292.257496192437,5.933118002391110,61.201,,5.928180985976830,
1968,CRI,Costa Rica,27,24,3,0,0,0,0,773841494.3396230,442.778595303081,8.47330434590671,64.847,,6.11323641082381,
1968,CUB,Cuba,227,177,50,0,10,0,10,,,,68.744,,9.52572578446046,
1968,CUW,Curacao,5,3,2,0,0,0,0,,,,,,8.75413853332986,
